职位名称,薪酬,城市地区,工作经验要求,学历要求,关键词,公司名称,规模类型,公司标签
经济研究员,4-7千,武汉·江岸区,2年,本科,"经济研究
金融研究
五险
周末双休
带薪年假",武汉君沅企业管理咨询有限公司,民营  |  少于50人,金融/投资/证券
宏观经济研究员,1.5-3万,北京,2年,硕士,"宏观，策略
五险一金
交通补贴
通讯补贴
绩效奖金
年终奖金
股票期权",中采智联信息科技（北京）有限责任公司,民营  |  少于50人,专业服务(咨询、人力资源、财会)
投资经理（数字经济）,1.4-2万,杭州·上城区,5-7年,硕士,"行业研究报告
经济发展
数字经济
高端制造
行研
五险一金
补充医疗保险
员工旅游
交通补贴
餐饮补贴
通讯补贴
专业培训
绩效奖金
年终奖金
定期体检",杭实资产管理（杭州）有限公司,国企  |  少于50人,金融/投资/证券
区域经济研究,8千-1万,昆明·西山区,3-4年,本科,数据分析,云南火天传媒有限公司,民营  |  50-150人,文字媒体/出版
金融/经济研究员,9千-1.3万·13薪,广州·天河区,1年,大专,"金融
金融市场
分析报告
五险一金
补充医疗保险
补充公积金
专业培训
绩效奖金",广州港晟商务咨询有限公司,民营  |  50-150人,金融/投资/证券
总经济师,40-50万/年,南京·秦淮区,8-9年,硕士,"财税
经济
企业管理
战略发展
政策研究
五险一金
年终奖金
定期体检
通讯补助
带薪年假
餐饮补贴
交通补贴
通讯补贴
免费班车
岗位晋升",江苏百盛工程咨询有限公司,民营  |  150-500人,交通/运输/物流
金融/经济研究员（周末双休）,9千-1.3万·13薪,广州,1年,大专,"金融
经济
分析报告
金融市场
五险一金
补充医疗保险
补充公积金
专业培训
绩效奖金",广州港晟商务咨询有限公司,民营  |  50-150人,金融/投资/证券
经济学院实验教师,5-7千,武汉·洪山区,无需经验,硕士,"周末双休
五险一金
节日福利
定期体检
交通补贴
餐饮补贴
通讯补贴
年终奖金
绩效奖金",湖北商贸学院,事业单位  |  500-1000人,教育/培训/院校
经济研究员,7千-1.3万,西安·碑林区,无需经验,大专,"专业培训
交通补贴
通讯补贴",西安金贝元信息技术有限公司,创业公司  |  50-150人,金融/投资/证券
宏观经济研究员,1-2万,北京·通州区,5-7年,硕士,"五险一金
绩效奖金
定期体检",北京福盛德信息咨询有限公司,民营  |  少于50人,专业服务(咨询、人力资源、财会)
金融/经济研究员,9千-1.4万·13薪,广州·天河区,1年,大专,"金融行业
分析报告
分析
五险一金
补充医疗保险
补充公积金
员工旅游
专业培训
股票期权
出国机会",广州慧晟商务咨询有限公司,民营  |  50-150人,计算机软件
金融/经济研究员,1-1.2万,深圳·龙华区,1年,本科,"直播
期货市场
宏观研究
跟踪市场行情
五险一金
通讯补贴
年终奖金
绩效奖金
定期体检",民生期货有限公司,民营  |  150-500人,金融/投资/证券
经济技术人员,5-8千,西安·碑林区,无需经验,大专,"财务管理
经济学
专业培训
交通补贴
通讯补贴",西安金贝元信息技术有限公司,创业公司  |  50-150人,金融/投资/证券
宏观经济研究员,1-2万,北京·通州区,5-7年,硕士,"五险一金
绩效奖金
定期体检",北京福盛德信息咨询有限公司,民营  |  少于50人,专业服务(咨询、人力资源、财会)
产业经济研究员,10-15万/年,北京·朝阳区,无需经验,硕士,"产业经济研究
五险一金
交通补贴
餐饮补贴
专业培训
绩效奖金
年终奖金
定期体检",北京经世万方信息技术有限公司,民营  |  50-150人,计算机软件
经济普查领导小组区级普查指导员,3-3.5千,成都·温江区,2年,大专,五险一金,成都恒信人力资源管理有限责任公司,非营利组织  |  1000-5000人,专业服务(咨询、人力资源、财会)
经济实习生,5千-1万,西安·碑林区,无需经验,大专,"财务管理
专业培训
交通补贴
通讯补贴",西安金贝元信息技术有限公司,创业公司  |  50-150人,金融/投资/证券
宏观经济研究员,1-2万,北京·通州区,5-7年,硕士,"五险一金
绩效奖金
定期体检",北京福盛德信息咨询有限公司,民营  |  少于50人,专业服务(咨询、人力资源、财会)
经济研究员（规划编制人员）,5-8千,运城,3-4年,本科,"专业培训
年终奖金
五险
员工旅游",北京中金万瑞工程咨询有限公司,民营  ,服装/纺织/皮革
股份交易中心宏观经济分析师,1.5-2.5万,上海·杨浦区,2年,硕士,"五险一金
定期体检
专业培训
通讯补贴",山金期货有限公司,国企  |  50-150人,金融/投资/证券
国际经济与贸易骨干教师,8千-1.3万,青岛,无需经验,博士,,青岛城市学院,非营利组织  |  1000-5000人,教育/培训/院校
宏观经济研究员,1-2万,北京·通州区,5-7年,硕士,"五险一金
绩效奖金
定期体检",北京福盛德信息咨询有限公司,民营  |  少于50人,专业服务(咨询、人力资源、财会)
经济数据研究员,6千-1.2万,广州·越秀区,1年,本科,"经济研究
金融
经济学
数据分析
数据
统计
分析
经济
数据处理
数据监测
五险一金
员工旅游
绩效奖金
年终奖金
定期体检
周末双休",广州市坚信信息科技有限公司,民营  |  50-150人,计算机软件
产业经济分析咨询师,4-8千,西安·莲湖区,1年,本科,"区域经济规划
产业发展规划
课题研究
国民经济发展
专项规划
五险一金
绩效奖金
年终奖金
定期体检",陕西省庆华工程咨询有限责任公司,民营  |  50-150人,专业服务(咨询、人力资源、财会)
经济师,1-1.5万,武汉·武昌区,3-4年,本科,财务经济分析,天弈工程咨询有限公司,民营  |  少于50人,专业服务(咨询、人力资源、财会)
宏观经济研究员,1-2万,北京·通州区,5-7年,硕士,"五险一金
绩效奖金
定期体检",北京福盛德信息咨询有限公司,民营  |  少于50人,专业服务(咨询、人力资源、财会)
投资经理-经济/金融/法学博士,2-2.5万,深圳,3-4年,博士,"投资
法律
撰写报告
文字能力
五险一金
绩效奖金
弹性工作",深圳市尊地咨询股份有限公司,已上市  |  150-500人,房地产
经济研究员,8千-1万,西安·碑林区,3-4年,本科,,北京中金万瑞工程咨询有限公司,民营  ,服装/纺织/皮革
金融/经济研究员 财务分析员,10-15万/年,南京·江宁区,1年,本科,"分析师
量化数据
建模
证券
基金
股票
金融
matlab
财务管理
会计
五险一金
餐饮补贴
绩效奖金
定期体检",上海宙涵企业征信服务有限公司,民营  |  少于50人,专业服务(咨询、人力资源、财会)
宏观经济研究员 (Macroeconomist),1-2万,北京·通州区,3-4年,硕士,"宏观经济
通胀
货币政策
财政政策
产业政策
地区经济
国际经济
五险一金
绩效奖金
定期体检",北京福盛德信息咨询有限公司,民营  |  少于50人,专业服务(咨询、人力资源、财会)
国际课程经济老师,10-15万/年,宁波·鄞州区,3-4年,本科,"五险一金
员工旅游
定期体检
年终奖金",宁波市鄞州区通藤成人语言能力培训有限公司,民营  |  少于50人,教育/培训/院校
产业经济研究员,8千-1.2万,武汉·江岸区,2年,硕士,"数据分析
课题研究
数字经济
社会治理
市场研究
经济
金融
影响评估
产业政策研究
报告编写
五险一金
年终奖金
带薪年假
周末双休
专业培训
节日福利",众创网（武汉）科技有限公司,民营  |  50-150人,互联网/电子商务
金融/经济研究员（技术指导）,8千-1.4万·13薪,广州·天河区,1年,本科,"金融
经济
分析报告
分析研究
实践指导
研究分析
数据洞察
私募股权投资
投资
战略建议
绩效奖金
周末双休
生日福利
节日福利
定期团建
员工旅游
专业培训
地铁周边
环境优质
弹性工作",广东致远蓝图项目管理有限公司,民营  |  50-150人,金融/投资/证券
宏观经济研究员 (Macroeconomist),1-2万,北京·通州区,3-4年,硕士,"五险一金
绩效奖金
定期体检",北京福盛德信息咨询有限公司,民营  |  少于50人,专业服务(咨询、人力资源、财会)
经济金融专业专职教师,5-7千,德阳,1年,本科,"做五休二
全勤奖
绩效奖金
节日福利
五险",德阳科贸职业学院,非营利组织  |  150-500人,教育/培训/院校
经济数据分析,9千-1.5万,沧州,1年,大专,"数据分析
R
语言
c+
SPSS
五险一金
弹性工作
绩效奖金
周末双休",北京蓝百商贸有限公司,民营  |  50-150人,互联网/电子商务
经济研究员(固定双休),7千-1.2万,广州·天河区,1年,大专,"金融
投资
资产管理
理财
投融资
五险一金
员工旅游
专业培训
弹性工作
周末双休
节日福利
生日礼品
地铁周边",广东致远蓝图项目管理有限公司,民营  |  50-150人,金融/投资/证券
宏观经济助理研究员,8千-1.5万,北京·通州区,2年,硕士,"宏观经济
行业经济
货币政策
财政政策
房地产
物价
国际经济
地区经济
五险一金
绩效奖金
定期体检",北京福盛德信息咨询有限公司,民营  |  少于50人,专业服务(咨询、人力资源、财会)
宏观经济研究专家,3.5-6万,北京·西城区,5-7年,博士,"宏观经济
机械装备
医疗机械
健康养老
医药
五险一金
餐饮补贴
绩效奖金
年终奖金
定期体检",上海鉴才市场营销策划有限公司,民营  ,专业服务(咨询、人力资源、财会)
经济数据分析,9千-1.5万,大连,1年,大专,"数据分析
R
语言
c+
SPSS
五险一金
弹性工作
绩效奖金
周末双休",北京蓝百商贸有限公司,民营  |  50-150人,互联网/电子商务
经济研究员,2-2.5万,北京·朝阳区,1年,本科,"证券
期货
数据分析",北京东扬国际投资管理有限公司,民营  |  50-150人,金融/投资/证券
宏观经济助理研究员,8千-1.5万,北京·通州区,2年,硕士,"宏观经济
行业经济
货币政策
财政政策
房地产
物价
国际经济
五险一金
绩效奖金
定期体检",北京福盛德信息咨询有限公司,民营  |  少于50人,专业服务(咨询、人力资源、财会)
经济调研助理,8千-1.5万,北京,无需经验,硕士,"五险一金
补充医疗保险
绩效奖金
定期体检
企业年金",三菱日联银行（中国）有限公司北京分行,外资（非欧美）  |  150-500人,金融/投资/证券
经济数据分析,9千-1.5万,淄博,1年,大专,"数据分析
R
语言
c+
SPSS
五险一金
弹性工作
绩效奖金
周末双休",北京蓝百商贸有限公司,民营  |  50-150人,互联网/电子商务
产业规划/产业经济/产业研究师,12-20万/年,南京·栖霞区,2年,硕士,"产业规划
经济分析
政策研究
战略规划
五险一金
定期体检
绩效奖金
专业培训
员工旅游",江苏匠工营国规划设计有限公司,民营  |  50-150人,建筑/建材/工程
宏观经济助理研究员,8千-1.5万,北京·通州区,2年,硕士,"宏观经济
行业经济
货币政策
财政政策
房地产
物价
国际经济
五险一金
绩效奖金
定期体检",北京福盛德信息咨询有限公司,民营  |  少于50人,专业服务(咨询、人力资源、财会)
经济研究/金融研究岗,1.5-3万,杭州·上城区,3-4年,硕士,"五险一金
节日福利
高温补贴
餐饮补贴
年终奖金
定期体检",金帝联合控股集团有限公司,民营  |  500-1000人,房地产
经济数据分析,9千-1.5万,石家庄,1年,大专,"数据分析
R
语言
c+
SPSS
五险一金
弹性工作
绩效奖金
周末双休",北京蓝百商贸有限公司,民营  |  50-150人,互联网/电子商务
IBDP Economics Teacher 经济学教师,1.5-3万,苏州·相城区,3-4年,本科,"经济学教师
节日福利
五险一金
免费班车
专业培训",苏州国裕外语学校,民营  |  500-1000人,教育/培训/院校
宏观经济助理研究员,8千-1.5万,北京·通州区,2年,硕士,"宏观经济
行业经济
货币政策
财政政策
房地产
物价
国际经济
五险一金
绩效奖金
定期体检",北京福盛德信息咨询有限公司,民营  |  少于50人,专业服务(咨询、人力资源、财会)
经济财会岗,15-20万/年,贺州,2年,本科,"金融
税务
财经
财务管理
财务
五险一金
绩效奖金
餐饮补贴
通讯补贴
定期体检",广西桂东电力股份有限公司,国企  |  1000-5000人,电气/电力/水利
经济数据分析,9千-1.5万,青岛,1年,大专,"数据分析
R
语言
c+
SPSS
五险一金
弹性工作
绩效奖金
周末双休",北京蓝百商贸有限公司,民营  |  50-150人,互联网/电子商务
经济研究员,10-15万/年,威海,无需经验,硕士,"基金
金融
证券
研究
研究员
经济研究
五险一金
年终奖金
绩效奖金
零食茶点
专业培训
现金补贴",威海鲁银私募基金管理有限公司,合资  |  少于50人,金融/投资/证券
宏观经济助理研究员,1-1.5万,北京·通州区,2年,硕士,"宏观经济
行业经济
货币政策
财政政策
房地产
物价
国际经济
五险一金
绩效奖金
定期体检",北京福盛德信息咨询有限公司,民营  |  少于50人,专业服务(咨询、人力资源、财会)
经济财会岗,15-20万/年,贺州,2年,本科,"金融
税务
财经
财务管理
财务
五险一金
绩效奖金
餐饮补贴
通讯补贴
定期体检",广西桂东电力股份有限公司,国企  |  1000-5000人,电气/电力/水利
经济数据分析,9千-1.5万,天津·河西区,1年,大专,"数据分析
R
语言
c+
SPSS
五险一金
弹性工作
绩效奖金
周末双休",北京蓝百商贸有限公司,民营  |  50-150人,互联网/电子商务
数字经济与产业研究员[重庆南岸],6-8千,重庆·南岸区,无需经验,本科,"绩效奖金
专业培训
补充医疗保险",重庆信息通信研究院,事业单位  |  150-500人,通信/电信/网络设备
宏观经济助理研究员,8千-1.5万,北京·通州区,2年,硕士,"宏观经济
行业经济
货币政策
财政政策
房地产
物价
国际经济
五险一金
绩效奖金
定期体检",北京福盛德信息咨询有限公司,民营  |  少于50人,专业服务(咨询、人力资源、财会)
项目经济分析师,5-8千,西安,2年,本科,"经济分析师
投资顾问
项目经济分析
绩效奖金
年终奖金
社会保险",陕西博源智融信息咨询有限公司,民营  |  少于50人,专业服务(咨询、人力资源、财会)
经济运行分析及统计岗,5-6千,成都·高新区,3-4年,本科,"数据分析统计
经济运行
节日福利
五险一金
年终奖金
周末双休
朝九晚五",成都金控人力资源管理有限公司,国企  |  1000-5000人,专业服务(咨询、人力资源、财会)
数字经济高级研究员[重庆南岸],1.2-1.7万,重庆·南岸区,1年,硕士,"绩效奖金
专业培训
补充医疗保险",重庆信息通信研究院,事业单位  |  150-500人,通信/电信/网络设备
宏观经济助理研究员,1-1.5万,北京·通州区,2年,硕士,"宏观经济
行业经济
货币政策
财政政策
房地产
物价
国际经济
五险一金
绩效奖金
定期体检",北京福盛德信息咨询有限公司,民营  |  少于50人,专业服务(咨询、人力资源、财会)
经济研究员,10-15万/年,威海,无需经验,硕士,"基金
金融
证券
研究
研究员
经济研究
五险一金
年终奖金
绩效奖金
零食茶点
专业培训
现金补贴",威海鲁银私募基金管理有限公司,合资  |  少于50人,金融/投资/证券
研究所-金融研究部-宏观经济研究岗G00712,1.5-3万,上海,2年,硕士,"基金
期货
证券
五险一金
绩效奖金
餐补
通讯补贴
带薪年假
补充医疗保险
定期体检
节日福利",中信期货有限公司,国企  |  1000-5000人,金融/投资/证券
经济考核岗（某国企）,8千-1万,西安,2年,硕士,"统计分析
生产经营
经营考核
统计学
统计报表
节日福利
专业培训
五险一金",前锦网络信息技术（上海）有限公司XACP直通车项目组,合资  |  150-500人,互联网/电子商务
宏观经济助理研究员,8千-1.5万,北京·通州区,2年,硕士,"宏观经济
行业经济
货币政策
财政政策
房地产
物价
国际经济
五险一金
绩效奖金
定期体检",北京福盛德信息咨询有限公司,民营  |  少于50人,专业服务(咨询、人力资源、财会)
宏观经济分析咨询顾问,1-1.5万,武汉·武昌区,2年,硕士,"五险一金
餐饮补贴
定期体检
年终奖金
带薪年假
两周春节假期",湖北永业行评估咨询有限公司,民营  |  1000-5000人,专业服务(咨询、人力资源、财会)
研究所-金融研究部-宏观经济研究岗G00712,1.5-3万,深圳,2年,硕士,"基金
期货
证券
五险一金
绩效奖金
餐补
通讯补贴
带薪年假
补充医疗保险
定期体检
节日福利",中信期货有限公司,国企  |  1000-5000人,金融/投资/证券
评估咨询师（技术经济）,1.5-2万,武汉·汉阳区,3-4年,本科,"规划
咨询
评估
经济
技术
餐饮补贴
专业培训
年终奖金
通讯补贴
绩效奖金
定期体检
五险一金
交通补贴
补充医疗保险
补充公积金",中交武汉港湾工程设计研究院有限公司,国企  |  150-500人,建筑/建材/工程
宏观经济助理研究员,8千-1.5万,北京·通州区,2年,硕士,"宏观经济
行业经济
货币政策
财政政策
房地产
物价
国际经济
五险一金
绩效奖金
定期体检",北京福盛德信息咨询有限公司,民营  |  少于50人,专业服务(咨询、人力资源、财会)
金融（经济）研究员,8千-1.5万,深圳·福田区,无需经验,本科,"经济分析
政策研究
绩效奖金
专业培训
五险一金",王牌智库（深圳）有限公司,民营  |  50-150人,专业服务(咨询、人力资源、财会)
研究所-金融研究部-宏观经济研究岗G00712,1.5-3万,北京,2年,硕士,"基金
期货
证券
五险一金
绩效奖金
餐补
通讯补贴
带薪年假
补充医疗保险
定期体检
节日福利",中信期货有限公司,国企  |  1000-5000人,金融/投资/证券
AP/Alevel经济学老师,8千-1万,成都·高新区,3-4年,本科,"经济学
AP
ALEVEL
教师
老师
绩效奖金
五险一金
员工旅游
带薪年假
节日福利
加班补助
高温补贴",成都思拓教育咨询有限公司,民营  |  少于50人,教育/培训/院校
宏观经济助理研究员,8千-1.5万,北京·通州区,2年,硕士,"宏观经济
行业经济
货币政策
财政政策
房地产
物价
国际经济
五险一金
绩效奖金
定期体检",北京福盛德信息咨询有限公司,民营  |  少于50人,专业服务(咨询、人力资源、财会)
投资估算与财务/经济分析咨询顾问,6千-1万,昆明·盘龙区,3-4年,本科,"投资估算
财务分析
经济分析
财务经济测算
投资测算模型
土地成本组价
五险一金
交通补贴
餐饮补贴
通讯补贴
绩效奖金
年终奖金
定期团建
年度体检
周末双休",同炎数智科技（重庆）有限公司昆明分公司,合资  |  150-500人,建筑/建材/工程
金融/经济研究员,1-2万,武汉·硚口区,无需经验,大专,"员工旅游
绩效奖金
专业培训
五险一金
餐饮补贴
年终奖金
弹性工作",武汉迅鑫智能科技有限公司,民营  |  50-150人,计算机软件
数据分析师/经济研究员,8千-1.1万,深圳·光明区,无需经验,本科,"专业培训
五险一金
加班补贴
包餐
住房补贴
考核奖金",深圳市煜益新统计师事务所有限公司,民营  |  少于50人,专业服务(咨询、人力资源、财会)
宏观经济助理研究员,8千-1.5万,北京·通州区,2年,硕士,"宏观经济
行业经济
货币政策
财政政策
房地产
物价
国际经济
地区经济
五险一金
绩效奖金
定期体检",北京福盛德信息咨询有限公司,民营  |  少于50人,专业服务(咨询、人力资源、财会)
金融经济研究员,9千-1.4万·13薪,广州·天河区,1年,大专,"经济
金融行业
分析报告
分析
数据敏感
金融市场
五险一金
补充医疗保险
补充公积金
员工旅游
年终奖金
绩效奖金
出国机会
专业培训",广州慧晟商务咨询有限公司,民营  |  50-150人,互联网/电子商务
金融/经济研究员,9千-1.4万·13薪,广州·天河区,1年,大专,"经济
金融行业
分析报告
分析
数据敏感
金融
金融市场
五险一金
补充医疗保险
补充公积金
员工旅游
专业培训
出国机会
股票期权",广州慧晟商务咨询有限公司,民营  |  50-150人,计算机软件
数据分析师/经济研究员,8千-1.1万,深圳·光明区,无需经验,本科,"专业培训
五险一金
加班补贴
包餐
住房补贴
考核奖金",深圳市煜益新统计师事务所有限公司,民营  |  少于50人,专业服务(咨询、人力资源、财会)
宏观经济助理研究员,8千-1.5万,北京·通州区,2年,硕士,"宏观经济
行业经济
货币政策
财政政策
房地产
物价
国际经济
五险一金
绩效奖金
定期体检",北京福盛德信息咨询有限公司,民营  |  少于50人,专业服务(咨询、人力资源、财会)
金融/经济研究员,9千-1.4万·13薪,广州·天河区,1年,大专,"经济
金融行业
分析报告
分析
数据敏感
五险一金
补充医疗保险
补充公积金
员工旅游
年终奖金
绩效奖金
出国机会
专业培训",广州慧晟商务咨询有限公司,民营  |  50-150人,互联网/电子商务
初级研究员（产业经济方向）,7千-1万,深圳·龙岗区,1年,本科,"咨询
数据分析处理
报告撰写
研究报告
咨询方案
产业研究
园区规划
产业经济
图表呈现
归纳总结
五险一金
绩效奖金
定期体检
员工旅游
周末双休
弹性工作",深圳市智通国际科技创新研究中心,非营利组织  |  少于50人,学术/科研
Economics Teacher经济老师,1.5-2万,南通,3-4年,本科,,南通诺德安达双语学校,外资（欧美）  |  500-1000人,教育/培训/院校
宏观经济助理研究员,1-1.5万,北京·通州区,2年,硕士,"宏观经济
行业经济
货币政策
财政政策
房地产
物价
国际经济
五险一金
绩效奖金
定期体检",北京福盛德信息咨询有限公司,民营  |  少于50人,专业服务(咨询、人力资源、财会)
双语经济学老师,8千-1.5万,成都·锦江区,1年,本科,"五险一金
绩效奖金
年终奖金
专业培训
定期体检
员工旅游
补充医疗保险",美中国际教育集团,外资（欧美）  |  150-500人,教育/培训/院校
数字经济与产业研究员[重庆南岸],8千-1万,重庆·南岸区,3-4年,本科,"绩效奖金
专业培训
补充医疗保险",重庆信息通信研究院,事业单位  |  150-500人,通信/电信/网络设备
经济研究员,9千-1.3万·13薪,广州·天河区,1年,大专,"经济
金融行业
分析报告
分析
数据敏感
金融
金融市场
五险一金
补充医疗保险
补充公积金
专业培训
绩效奖金",广州港晟商务咨询有限公司,民营  |  50-150人,金融/投资/证券
宏观经济助理研究员,8千-1.5万,北京·通州区,2年,硕士,"宏观经济
行业经济
货币政策
财政政策
房地产
物价
国际经济
五险一金
绩效奖金
定期体检",北京福盛德信息咨询有限公司,民营  |  少于50人,专业服务(咨询、人力资源、财会)
技术经济师,1-2万,上海·浦东新区,3-4年,本科,"做五休二
五险一金
周末双休
包住宿
节日福利",润和催化剂股份有限公司,民营  |  150-500人,石油/化工/矿产/地质
高级顾问（产业经济研究中心）,15-20万/年,成都,2年,硕士,"餐饮补贴
五险一金
年终奖金
绩效奖金
定期体检
弹性工作",成都市建筑设计研究院有限公司,国企  |  150-500人,建筑/建材/工程
经济研究员（双休+高薪）,8千-1.3万·13薪,广州,1年,大专,"经济
金融行业
分析报告
分析
金融
金融市场
五险一金
补充医疗保险
补充公积金
专业培训
绩效奖金",广州港晟商务咨询有限公司,民营  |  50-150人,金融/投资/证券
宏观经济助理研究员,8千-1.5万,北京·通州区,2年,硕士,"宏观经济
行业经济
货币政策
财政政策
房地产
物价
国际经济
五险一金
绩效奖金
定期体检",北京福盛德信息咨询有限公司,民营  |  少于50人,专业服务(咨询、人力资源、财会)
区域经济研究员,8千-1.3万,深圳·福田区,2年,本科,"经济研究
撰写报告
市场调研
调研报告
经济
咨询行业
舆情监控
统计学
数据分析
项目定位报告
社会保险
专业培训
年终奖金
自有办公楼",王牌智库（深圳）有限公司,民营  |  50-150人,专业服务(咨询、人力资源、财会)
数据分析（经济数据）,1-2万,深圳·南山区,2年,本科,"数据
数据处理
数据挖掘
统计
数据分析师
宏观经济
股票期权
年终奖金
五险一金
专业培训",深圳格隆汇信息科技有限公司,民营  |  150-500人,互联网/电子商务
经济运行管理主管,8千-1.2万,杭州·滨江区,3-4年,本科,"数据分析
做五休二
带薪年假
五险一金
高温补贴
周末双休
补充医疗保险
交通补贴
餐饮补贴
通讯补贴",东方通信股份有限公司,国企  |  1000-5000人,通信/电信/网络设备
宏观经济助理研究员,8千-1.5万,北京·通州区,2年,硕士,"宏观经济
行业经济
货币政策
财政政策
房地产
物价
国际经济
五险一金
绩效奖金
定期体检",北京福盛德信息咨询有限公司,民营  |  少于50人,专业服务(咨询、人力资源、财会)
财新智库宏观经济研究员,1.2-1.8万·13薪,北京,1年,硕士,宏观经济,财新数据科技有限公司,合资  |  150-500人,金融/投资/证券
总部经济招商顾问（深圳）,8千-1.5万,深圳·福田区,2年,本科,"招商
销售
大客户代表
出差
总部经济
财税
专业培训
五险一金
绩效奖金
年终奖金
每年调薪
晋升空间
周末双休
快速发展期
行业领先
体系化管理",谷川联行有限公司,民营  |  500-1000人,多元化业务集团公司
企业经营管理主管（经济运行方向）,8千-1.2万,杭州·滨江区,3-4年,本科,"会计
房地产
审计
做五休二
带薪年假
五险一金
高温补贴
周末双休
补充医疗保险
交通补贴
餐饮补贴
通讯补贴",东方通信股份有限公司,国企  |  1000-5000人,通信/电信/网络设备
宏观经济助理研究员,8千-1.5万,北京·通州区,2年,硕士,"宏观经济
行业经济
货币政策
财政政策
房地产
物价
国际经济
地区经济
五险一金
绩效奖金
定期体检",北京福盛德信息咨询有限公司,民营  |  少于50人,专业服务(咨询、人力资源、财会)
能源经济研究员,13-18万/年,北京·朝阳区,2年,硕士,"能源经济研究
五险一金
交通补贴
餐饮补贴
专业培训
绩效奖金
年终奖金
定期体检",北京经世万方信息技术有限公司,民营  |  50-150人,计算机软件
工程咨询师（经济评价）,8千-1.6万,郑州·郑东新区,1年,本科,"五险一金
绩效奖金
通讯补贴
交通补贴
定期体检
专业培训
优秀员工奖
销售
咨询
顾问
咨询顾问
销售代表
渠道销售",河南油田工程科技股份有限公司,民营  |  50-150人,石油/化工/矿产/地质
副总经济师,18-22万/年,武汉·蔡甸区,3-4年,本科,"周末双休
话补
高温补贴
节日福利
立即上岗
五险一金
绩效奖金
免费班车
年终奖金
专业培训
定期体检",航天瑞奇电缆有限公司,国企  |  500-1000人,机械/设备/重工
宏观经济助理研究员,8千-1.5万,北京·通州区,2年,硕士,"宏观经济
行业经济
货币政策
财政政策
房地产
物价
国际经济
五险一金
绩效奖金
定期体检",北京福盛德信息咨询有限公司,民营  |  少于50人,专业服务(咨询、人力资源、财会)
能源经济研究员,1-2万·13薪,广州·海珠区,1年,硕士,"需求设计
研究报告
数据收集
统计分析
能源经济
计量分析
数字经济
数据敏感
能源
电力行业
专业培训
年终奖金
定期体检
六险一金
季度劳保",广东信通通信有限公司,国企  |  150-500人,通信/电信/网络设备
研究员（产业经济）,7千-1.2万·13薪,深圳·福田区,1年,硕士,"产业经济
宏观经济
宏观政策
研究
通讯补贴
周末双休
专业培训
五险一金
年终奖金
定期体检",深圳市维度数据科技股份有限公司,已上市  |  150-500人,专业服务(咨询、人力资源、财会)
董事长秘书（政治经济学方向）,9千-1.8万,北京·海淀区,3-4年,硕士,"政治经济学
宏观经济学
发展战略
党务党建
五险一金
绩效奖金
年终奖金
周末双休
带薪年假
专业培训
员工旅游",北京中智时代信息技术有限公司,民营  ,计算机软件
宏观经济助理研究员,8千-1.5万,北京·通州区,2年,硕士,"宏观经济
行业经济
货币政策
财政政策
房地产
物价
国际经济
五险一金
绩效奖金
定期体检",北京福盛德信息咨询有限公司,民营  |  少于50人,专业服务(咨询、人力资源、财会)
副总经理（金融、经济）,1.5-2万,威海,3-4年,本科,"总经理
副总经理
副总
总监
***
经理
ceo
销售
五险一金
年终奖金
绩效奖金
零食茶点
专业培训
现金补贴",威海鲁银私募基金管理有限公司,合资  |  少于50人,金融/投资/证券
楼宇经济项目负责人,5-8千,武汉·洪山区,3-4年,本科,"做五休二
周末双休
带薪年假
节日福利",湖北广美城市运维服务有限公司,国企  |  150-500人,政府/公共事业
总部经济咨询顾问,1-1.5万,杭州·临平区,5-7年,本科,"财税筹划
企业客户资源
税务咨询
五险一金
餐饮补贴
专业培训
年终奖金",浙江牛领数字技术有限公司,民营  |  50-150人,影视/媒体/艺术/文化传播
宏观经济助理研究员,8千-1.5万,北京·通州区,2年,硕士,"宏观经济
行业经济
货币政策
财政政策
房地产
物价
国际经济
五险一金
绩效奖金
定期体检",北京福盛德信息咨询有限公司,民营  |  少于50人,专业服务(咨询、人力资源、财会)
金融/经济研究员1,1-1.5万,北京·朝阳区,无需经验,,,北京金厚财务顾问有限公司,民营  ,贸易/进出口
经济与投融资岗（交通运输产业）,10-15万/年,乌鲁木齐,3-4年,本科,"统计分析
投资决策咨询
五险一金
补充公积金
补充医疗保险
餐饮补贴
专业培训
绩效奖金
年终奖金
定期体检",新疆交通科学研究院有限责任公司,国企  |  500-1000人,交通/运输/物流
经济（咨询、造价、可研）专家,1.5-2.5万,哈尔滨,10年以上,本科,"工程造价
预算
决算
经济分析
经济法规
包吃
节日福利
加班补贴
五险一金
通讯补贴
绩效奖金
年终奖金
定期体检",哈尔滨天源石化工程设计有限责任公司,民营  |  500-1000人,石油/化工/矿产/地质
宏观经济助理研究员,8千-1.5万,北京·通州区,2年,硕士,"宏观经济
行业经济
货币政策
财政政策
房地产
物价
国际经济
五险一金
绩效奖金
定期体检",北京福盛德信息咨询有限公司,民营  |  少于50人,专业服务(咨询、人力资源、财会)
研究员（宏观经济方向 惠州）,6-8千,惠州·仲恺区,无需经验,本科,"数据分析
客户沟通
分析报告
报告撰写
行业分析
项目分析
项目汇报
研究
研究咨询
经济分析
五险一金
员工旅游
绩效奖金
年终奖金
定期体检",深圳市维度数据科技股份有限公司,已上市  |  150-500人,专业服务(咨询、人力资源、财会)
