职位名称,公司名称,薪酬,城市地区,学历要求,工作经验要求,公司福利,公司标签,职位描述或任职要求,规模类型
仓库管理员,上海源于意实业有限公司,6-7千,上海-长宁区,本科,2年经验,财务,通信/电信/网络设备,1、负责财会管理工作，包括项目的会计核算，对各账目及时核对和清理等；2、负责经营测算，针对增值税、所得税、现金流进行相应的审核申报；3、对每月经营情况进行分析，主要针对成本费用、大宗资产、纳税情况、大额往来挂账等进行分析，形成经营月报、年报；4、及时做好会计凭证、帐册、报等财务资料的收集、汇编、归档等会计档案管理工作；5、完成领导交代的任务；任职要求：1、熟悉国家财务、税收等法规和政策，熟悉国内会计准则、财务准则；2、至少5年以上财会工作经验，有财务管理、税收筹划工作经验。3、熟悉财务管理工作，精通财务核算，熟知国家财经类法律法规及政策；4、熟练财务工作的各个流程；尤其对账务处理及税金申报过程较为熟练掌握；5、熟练使用财务软件及办公软件；6、作风严谨，风险意识强，高度的责任心和敬业精神及团队合作精神；7、有中级职称8、年龄28-35岁，会说上海话为佳,民营  |  150-500人
信贷管理专员,招商永隆银行有限公司上海分行,6千-1万,南京-江宁区,大专,3-4年经验,会计,多元化业务集团公司,"岗位职责1、熟悉小规模以及一般纳税人账目处理、纳税申报2、熟悉国家财务、税务、审计等相关法规政策3、熟练使用财务软件任职资格1、良好的沟通技巧,分析能力以及解决问题的能力2、两年及以上工作经验者优先考虑3、有高企申报、进出口贸易退税经验者优先考虑福利待遇：周末双休、五险一金、专业培训、带薪年假、全勤奖、节日福利、工作补贴",民营  |  50-150人
供应商质量管理工程师,裕太微电子股份有限公司,4-5千,上海-长宁区,本科,3-4年经验,五险一金,电气/电力/水利,一、岗位职责1、完成账务处理、按期报税；2、进行账务分析管理，保证账务准确规范；3、按期申报统计报表；4、进行税收筹划，熟悉了解各项税收政策，帮助实现公司的战略规划；5、负责公司税务管理制度和流程建设，根据公司经营管理需求，不断优化公司税务管理制度和流程6、主导整理会计凭证及其他会计档案并装订成册；7、建立财务管理制度，规范财务核算流程，督促落实各项规范制度执行。8、完成领导安排的其他工作。二、任职要求1、本科及以上学历，会计、财务管理、企业管理等相关专业；2、具备会计师及以上资格证书，年龄26-40岁；3、三年以上财务工作经验；4、具有较强的工作责任心和良好的团队意识、服务意识；工作严谨、认真仔细；善于沟通和团队带领；有较强的逻辑思维能力；5、原则性强，有着优秀的专业素养和职业道德。,民营  |  150-500人
科研管理员\项目申报工程师,云南省企业创新研究会,6-8千,汕头-龙湖区,大专,3-4年经验,账务,原材料和加工,岗位职责：1、协助制作会计凭证；2、协助核算业务部门的成本费用及业务部门的日常报销工作；3、协助核对往来账务；4、协助做好月度的相关会计报表及其他统计报表；5、协助开具发票及做好审计、税务检查、年度决算等工作；6、完成领导交办的其它任务。任职要求：1、财务、会计等相关专业，专科及以上学历；持有中级职称优先；2、3-5年房地产会计工作经验，能熟悉运用金蝶、用友等财务软件；3、品行端正、工作细致严谨、积极主动。,合资  |  少于50人
IT管理人员/IT技术支持,广州林格装饰设计有限公司,7千-1万·13薪,鄂州,大专,2年经验,财务,石油/化工/矿产/地质,岗位职责1、记账管理：跟踪工程项目的资金流动，建立和维护完整的会计记账。2、税务管理：确保建筑企业、项目和雇员都能履行税务责任，以及向税务机关支付正确税款；3、合同审计：审计合同以确保各方均遵守合同条款；4、财务分析：对项目和企业的财务状况进行定期分析，以确保其能够支持所有的生意活动；5、报表制作：定期向公司提交报表反应财务情况。6、公司交办的其它任务。任职资格1、大专以上学历，审计、财务、税务或相关专业；2、2年以上财务、审计、税务、从业经历；3、具有良好的职业操守，工作踏实认真，有事业心和责任感强；4、具有良好的沟通协调能力，服务意识强，有团队精神，严守公司和客户商业秘密；5、能适应出差加班。,民营  |  少于50人
医疗器械质量管理,广东凯普生物科技股份有限公司,4-7千,西安-未央区,本科,3-4年经验,财务,通信/电信/网络设备,1、学历要求：会计专业本科以上学历；2、职称要求：助理会计师以上职称，中级职称优先；3、专业能力：三年以上工作经验，能够进行账务处理、发票开具和纳税申报，有工业企业工作经验者优先。,民营  |  50-150人
业务单元工程设施管理工程师 ID135786,宜家重庆商场,4.5-9千·13薪,宁波-鄞州区,大专,3-4年经验,会计,仪器仪表/工业自动化,1、掌握全盘账务处理，熟练适应财务软件；2、编制会计报表，及时报送各类月度财税报表，季度财务报表，年度财务报表；3、负责企业管理费用核算，审核收支原始凭证，账务处理符合制度规定，账目清晰，数字精确，结算及时等。任职资格1、财政学/会计学专业，大专及以上学历；2、3年以上外贸主办会计相关的从业经验；3、熟悉电子口岸，出口退税软件操作，会计报表的处理，熟练使用财务软件；4、具有良好的学习能力、独立工作能力和财务分析能力；5、工作细致，创新，能快速适应业务流程变更的财务处理，爱岗敬业，客观公正，良好职业操守。,民营  |  50-150人
采购管理师,颀中科技（苏州）有限公司,8千-1万,南通,大专,3-4年经验,财务数据,金融/投资/证券,总账会计，全盘账务处理，会出口退税。年龄要求：28-50岗位职责：1、负责公司账务处理；2、负责审核各种报销及付款申请单、原始凭证单据、发票；3、负责审核员工考勤、工资、提成、奖金等；4、全权负责税务、出口退税、工商事务，税务统筹、每月纳税申报、年度汇算清缴等5、审核开票明细和作废、退票明细。6、审核缴纳社保、招退工、个税申报。7、各种财务报表编制。8、以及其他财务工作事宜。任职要求：1、大专及以上学历，财务、会计、金融管理等相关专业，有2年以上工厂成本会计工作经验者优先；2、熟悉财会、税务相关法律法规及政策。3、能够熟练使用金蝶等财务软件及基础office办公软件。4、工作谨慎、认真细心，有责任心，有良好的职业素养。,民营  |  少于50人
电梯管理员,深圳超港服务股份有限公司宝能中心分公司,3.8-5.5千·13薪,昆明-盘龙区,大专,无需经验,五险一金,仪器仪表/工业自动化,岗位职责：1、负责日常财务核算工作；2、负责编制会计财务报表和会计报表；3、企业月度与年度抄报税工作；4、负责配合并监督仓库盘点公司存货，并与公司财务账面存货核对出具存货盘点报告；5、会计凭证编制、财务档案的装订和保管工作；6、进行日常的资金核算，协调公司领导处理各类债务问题；7、完成领导交付的其他工作。任职要求：1、大专及以上学历，财会专业优先；2、持初级职称，从事过财务相关工作半年以上者的优先；3、有团队合作精神，能吃苦耐劳，具有抗压能力。,民营  |  50-150人
案源管理,贵州黔创律师事务所,3.3-4千,上海-闵行区,大专,3-4年经验,财务,酒店/旅游,,合资  |  150-500人
设备管理员,广东良程吉运供应链管理有限公司,5.5-6千,北京-丰台区,大专,1年经验,财务,房地产,,民营  |  150-500人
行政助理（资质证照、OA系统维护和行政档案管理）8K,北京百思得科技服务有限责任公司,6-8千,郑州,本科,5-7年经验,会计主管,建筑/建材/工程,岗位职责：1、贯彻执行集团各项会计核算原则及财务制度；2、实施公司会计核算工作，编制会计凭证、财务报表等；3、实施财务分析与预测，辅助主管领导为经营决策提供准确的财务信息；4、辅助主管领导对公司全面预算予以编制以及执行情况数据统计分析；5、做好资金核对工作，复核各部门的资金计划和费用支出，按集团要求落实好资金池归集；6、按照税务部门要求及时予以纳税申报，辅助主管领导做好公司税务筹划；7、协助主管领导完善公司财务内控，对公司经营活动的全过程实施财务监督；8、协助领导对集团内子公司进行财务管理。任职要求:1、本科及以上，35岁以下，财务管理、会计等相关专业；2、初级会计师及以上职称；3、三年以上财务、会计、审计等相关工作经验；4、熟悉财务核算、报表编制及相关财务软件；熟悉税收政策以及纳税申报；5、原则性强，有责任心、有良好的沟通能力。工作地点：郑州。,民营  |  150-500人
金属试剂管理员,合肥欧创基因生物科技有限公司,6-8千,广州-白云区,大专,3-4年经验,会计主管,电子技术/半导体/集成电路,岗位职责：1，负责物业项目全盘账务处理，完成日常财务单据审核和流程审批；2，负责出具财务报表，收入、成本核算，费用控制，应付、应收账款的管理工作；3，负责依税法规定做好各项税收的核算、缴纳及税筹工作；4，负责建立和管理财务档案，做到资料齐全、保密；5，完成上级交给的其他日常事务性工作。岗位要求：1，大专及以上学历，财务、会计专业，具有初级会计师及以上职称；2，熟悉国家金融政策、企业财务制度、税务、审计法规及流程，熟练会计报表的处理和使用财务办公软件；3，工作谨慎细心，思维敏捷、性格沉稳、保密意识强；4，具有良好的职业道德和责任心，善于思考和分析，具有团队合作精神；5，有物业管理公司财务工作经验者优先考虑。,民营  |  50-150人
风险管理系统岗,华宝证券股份有限公司,3-5千,北京-海淀区,本科,3-4年经验,会计,专业服务(咨询、人力资源、财会),职位信息：1、跟踪北京税收政策，及时了解最新财税法规，协助领导做好纳税筹划工作；2、负责各项税费的计算、税务报送、发票开具等与税务相关的事宜。处理税务检查等各项涉税事项；3、完成工程项目会计核算，成本费用单据审核，纳税统计表、财务报表的编制等；4、完成项目会计原始凭证录入、整理与归档？；5、负责工程收、付款项管理相关事项；6、对账工作；7、领导交代的其他事项。岗位要求1、会计、财务相关专业，专科以上学历；3年以上建筑工程行业工作经验；2、熟悉国家财经法律法规和税收政策及相关账务的处理方法；3、熟练掌握OFFICE等常用办公软件，工作认真负责任；4、具有会计师资格证书者优先。,民营  
供应商质量管理(纺织）/Production Planning Manager,历德服务（香港）有限公司深圳代表处,7千-1万,保山,本科,3-4年经验,晋江市永信达织造制衣有限公司,会计/审计,1.***本科以上学历，会计、财务管理、审计相关专业；2.具有国内大型制造业3-5年以上成本、资产岗工作经验；3.具有中级会计师以上职称，或CPA通过会计、审计、财务管理三科以上；4.较强的责任心，工作细致，认真负责；具备良好的人际沟通能力和团队合作精神。,民营  |  少于50人
仓库管理员,宁波金时智能科技有限公司,5-8千,镇江-镇江新区,大专,3-4年经验,五险,贸易/进出口,"工作职责:1、资金、票据结算业务办理,负责公司日常财务核算，参与公司的经营管理；2、销售结算业务办理，并出具相关销售类财务报表；3、成本核算、利润核算、财务分析类工作，编制相关财务报表；4、负责企业年度财务决算工作，审核、编制上级有关财务报表，并进行综合分析。任职资格:1、本科及以上学历，会计学、财务管理、审计学等相关专业；2、精通Office等办公软件和用友等财务办公软件；3、思维敏捷，具有工作责任心，有良好的沟通协调能力，有良好的职业道德和职场素质。",民营  |  150-500人
设施安全管理专员 (MJ000429),深圳市益诺思生物医药安全评价研究院有限公司,5-6千,成都-温江区,大专,5-7年经验,财务管理,计算机软件,岗位职责：1、熟悉公司账务处理，制作财务各项财务报表，提供数据及分析；2、审核票据，编制记账凭证，登记账务，完善财务数据；3、标志利润报表，业务同期对比，对领用物料进行登记；4、根据门店需求，随时给门店开具发票；5、完善整理各类合同信息，及时更新数据。任职资格：1、持会计从业资格证书、中级职称、从业经验5年以上，有商超行业经验；2、爱岗敬业，思维清晰，接受加班；3、熟悉财务相关软件，用友财务软件；4、工作严谨，态度端正；5、抗压能力强，执行力强。,民营  
13199-渠道管理专员,梅特勒托利多科技（中国）有限公司,6-8千,廊坊,大专,5-7年经验,成本管理,服装/纺织/皮革,岗位职责：1、负责公司相关账务入账、预算费用审核及费用报销等；2、关联公司交易及公司往来账的账务处理；3、各项税务申报等；4、及时做好账务核对，整理往来账户等；5、全盘账务处理、财务报表分析、以及集团要求的其他报表数据；6、负责内部核算审核，建立健全会计管理制度；7、负责审计前的相关资料准备汇总与稽核等；8、固定资产监盘等；岗位要求：1.35岁以内；2.专科及以上学历，会计相关专业；3.5年以上制造业会计工作经验；4.认真、仔细，工作踏实、稳定；,外资（非欧美）  |  500-1000人
成本会计,宁波中源欧佳渔具股份有限公司,7千-1万,深圳-龙岗区,大专,5-7年经验,仓库管理员,服装/纺织/皮革,岗位职责：1、负责高端客户的账务税务处理、出口退税申报以及税务检查业务2、负责高新记帐客户的高新台账、科创委报表以及规上企业统计报表申报等3、负责区域的财税基础业务培训4、负责协助区域跟进管理账以及高端财税业务意向客户5、负责管理账的客户财务内控搭建以及账务处理事宜6、负责上级交代的其他业务任职资格：1、大专以上学历，会计、税务、财管、金融等相关专业2、拥有财税5年以上经验，财税同行优先考虑3、熟悉出口企业/高新企业/建筑企业/工业企业/电商行业的账务和税务处理，熟悉企业的内部财务制度搭建，合同管理等等4、熟悉管家婆、金碟财务、亿企代账等财务软件5、具备良好的沟通表达能力6、熟悉税务风险核查以及风险应对的能力,民营  |  50-150人
会计,安徽新视野门窗幕墙工程有限公司,5-8千,深圳-光明区,大专,3-4年经验,五险一金,计算机软件,岗位职责1、根据规定的成本、费用开支范围和标准，审核原始凭证的合法性、合理性和真实性；2、处理会计凭证，检查会计科目运用是否正确，保证会计核算合规合法，及时准确；3、负责公司总账和明细账管理，主持合并财务报表的编制工作；4、管理会计凭证和报表，认真执行安全、保密制度，管理好会计档案；5、负责月度及年度结账和编制各类财务报表；6、报税以及相关处理，配合公司年度和专项审计工作；7、税务申报、协调与维护税局关系。8、公司全盘记账，项目成本管理与分析；9、资产折旧计算与计提；任职资格1、大专学历，30岁以上，有会计证，财务管理、会计专业，在项目型公司待过的财务优先。2、具有三年以上独立一般纳税人全盘会计工作经验，能独立处理全盘账务和税务工作；3、熟悉会计准则的财务处理，会计法规和税法，熟练使用财务软件；4、良好的学习能力、较强的独立工作能力和财务分析能力；5、工作积极主动，责任感强，有良好的沟通能力及团队协作精神。6、做过大型环卫公司公司有先；7、待遇面议；五险一金；8、上班地址：公明街道星兆晨集团大厦（原公明环卫站）,国企  |  50-150人
账单会计,大健云仓科技（苏州）有限公司,4-7千,广州-番禺区,本科,1年经验,生产计划,环保,岗位职责1、负责编制会计凭证；2、负责编制财务报表并出具财务报表分析报告；3、负责纳税申报，做好纳税筹划及管理；4、负责各项账务处理；5、做好税务规划，把控税务风险；6、负责整理会计凭证，会计资料档案保管工作。；7、领导安排的其他临时事宜。岗位要求：1、财务、会计专业本科以上学历；2、1年以上工作经验，具有房地产建筑公司工作经验的优先考虑；3、熟悉会计报表的处理，会计法规和税法，熟练使用财务软件；4、良好的学习能力、独立工作能力和财务分析能力；5、工作细致，责任感强，良好的沟通能力、团队精神。,民营  |  150-500人
会计/财务主管/财务主管,昆山西尔维娅家居用品有限公司,4.5-5千,上海,本科,3-4年经验,软件销售,房地产,"工作职责：1、资金业务处理，制作记账凭证，银行对账单；2、完成日常事务性工作，处理账务，完成出口退税等工作；3、单据审核，发票开具与保管；4、公司进出口业务账务处理工作；5、办理税务报表的申报6、公司年审工作、人事等；7、准确及时地完成月末财务报告及集团要求的相关报表8、往来账目梳理，协助催收,及时跟进并反馈9、协助公司领导完成财务部相关工作；任职资格：1、财务、会计、经济等相关专业本科及以上学历；2、工作经历3年以上；3、英语口语良好；3、熟练运用office、财务软件的操作；4、工作细致认真，责任感强，良好的沟通能力，表达能力，团队合作精神",民营  |  150-500人
会计专员,宁波长振铜业有限公司,6-9千,江门-新会区,大专,2年经验,补充医疗保险,互联网/电子商务,会计主管职能：1、参与公司营运成本及战略决策分析2、负责公司全面资金调配、成本核算、会计核算和分析工作3、预测/预算并跟踪掌握公司业绩4、根据会计法及税法要求，及时进行账务和纳税事宜处理5、定期总结财务政策及流程，提出建议，改善管理，加强控制6、主持财务部门日常工作（包括成本、应收、应付账款、银行、现金等），制定财务目标规划、岗位责任并监督实行7、规划并执行财务监督职能，审核公司内部的账务处理流程，指出潜在的风险8、负责公司内部及外部所有财务报表制作及报送9、其他任务岗位要求：1、***，28-40岁，***大学专科、大学本科会计专业2、***，三年工作经验以上，有制造业工作经验优先考虑3、熟练使用办公软件、财务软件4、熟悉国家税法与会计法及相关规定,外资（欧美）  |  150-500人
主办会计/记账会计/会计助理-共10人-点此查详情,成都至强商务服务有限公司,5-6千,广州,硕士,10年以上经验,MAH,汽车,职责描述：1.负责建立并完善公司财务管理制度、流程和作业标准；2.负责对下属子公司的财务稽核工作；3.负责指导子公司的财务核算工作，促进财务工作的规范化；4.负责财务系统信息化建设工作；5.负责对子公司财务人员评价管理。任职要求：1.***研究生及以上学历，财务、会计类专业。2.有上市公司规范企业财务工作经验，5年以上部门管理经验，会计师或者经济类中级职称，有知名会计师事务所经验优先。3.具备相应的财务管理知识，能够熟练掌握财务管理软件及办公软件。4.具有较强的领导能力、判断与决策能力，良好的人际沟通能力，精准的计划与执行能力。,民营  |  50-150人
会计岗,弘创融资租赁有限公司,6千-1万,杭州-余杭区,大专,3-4年经验,五险一金,家居/室内设计/装潢,1、负责总账类账务处理；2、负责每月出具单体及合并报表，以及内部管理报表；3、负责向上级公司、统计局报送每月快报等；4、协助建立健全财务管理制度、核算体系、考核体系；5、配合完成税务、统计、审计等外部公司的相关工作；6、完成领导交代的其他事项。补充说明：杭州拓锦贸易有限公司业务范围：铁尾矿，混合渣贸易，业务稳定工作地址：杭州市西湖区文二西路176号恩济花苑9-302会计：8年以上会计工作经验上班时间：早上9点至下午3点工资待遇：6500+社保+年底奖金+中餐假期与国家法定节假日同步,民营  |  50-150人
财务会计专员,广州市薰风体育用品有限公司,4-7千,广州,大专,3-4年经验,餐饮补贴,制药/生物工程,"1、负责每月会计凭证编制、账务处理、财务报表出具、报税等工作；2、登记每月的明细帐和总分类账、固定资产台账等；3、协助部门领导编制和执行预算、有效控制预算内的经费支出；4、能熟练操作财务软件；5、部门领导及总经理安排的其他事项；6、负责与财政、税务等有关部门保持良好的关系。任职资格1、大专以上学历,财务相关专业,持初级以上会计证书，做过加油站会计或酒店会计的优先考虑；2、具有3年以上全盘会计经验,能独立处理一般纳税人公司的全盘账务和税务工作；3、熟悉国家财务、税务、审计等相关法规政策；4、良好的沟通技巧,分析能力以及解决问题的能力；5、具备团队精神,可信,稳重。",民营  |  50-150人
会计（东湖新技术开发区花山街道）,大信沃思财务顾问（武汉）股份有限公司,4.5-6千,广州-白云区,中技/中专,3-4年经验,高温补贴,快速消费品(食品、饮料、化妆品),工作内容：1、能独立完成中小企业或外资企业的代理记帐全部过程，熟悉税务申报和帐务处理业务；2、热爱财务会计工作，工作认真细致，具有一定的凭证审核和处理帐务疑难问题能力；3、能根据客户需要对所代理的企业提出合理的财务规划和经营指导4、能协助企业完成企业的年检和审计工作；5、承担会计经理分配的外账及疑难户的账务处理。任职资格：1、中专或以上学历，财会相关专业，代理记账公司经验一年以上，能熟练做账；2、熟悉全盘外账账务处理；3、有较强的沟通能力，责任心强；4、会使用金蝶财务软件1、社会保险：购买五险；2、上班时间：朝九晚六，周末双休，法定节假日和带薪假期按照国家法定安排；(没有代理记账经验或未接触过小规模和一般纳税人的外账经验，免投。感谢你的认可及支持~）,民营  |  150-500人
全盘会计（增城）,博济医药科技股份有限公司,8千-1.2万,长沙-望城区,大专,3-4年经验,仪器,互联网/电子商务,1、负责公司会计核算，财务报表的编制工作；2、审核公司原始凭证的合法性、合理性和真实性，各部门费用支出是否符合相关规定；3、负责公司税收整体筹划与管理，按时完成纳税申报以及商务、市场监管、税务等部门年报工作；4、及时做好会计凭证、报表等财务资料的收集、汇编、归档等会计档案管理工作；5、资产、成本核算、质量成本核算、负责债权债务核算、年终预算、决算报表的编制工作等6、配合其他部门尤其是业务部门做好相关工作；7、上级交办其他事项。岗位要求：1.会计、财务管理及相关专业，大学专科及以上学历；2.三年及以上工业企业财务会计岗位工作经验；3.具备较强的执行能力、沟通及问题处理能力；一定的判断能力；良好的职业道德；4.具有较丰富的会计专业知识和财务管理知识、具有会计从业资格证、熟练使用会计核算软件。持有会计师职称优先；,外资（欧美）  |  150-500人
会计,昆山银联会计事务代理有限公司,5-7千,清远,大专,3-4年经验,五险一金,学术/科研,大专以上学历，财务类专业，有中级会计职称等相关证书，3年以上制造业全盘会计账务处理经验，熟练操作财务软件（金蝶）及电脑办公软件，工作认真细致，有责任心，具备良好沟通协调能力。,民营  |  1000-5000人
会计,杭州利邦企业管理咨询有限公司,9千-1.2万,东莞-东城区,大专,3-4年经验,工程管理,新能源,岗位职责、要求：1、熟练使用办公软件和财务软件，大专或以上学历，会计、财务、金融等相关专业，3年以上全盘账务工作经验，具有全面的财务专业知识，财务处理和财务管理经验。2、快速的学习能力和良好的沟通技巧，逻辑思维清晰，工作条理性好，有良好的责任心与职业操守，爱岗敬业，工作踏实、认真、细心，抗压力、执行力和服务意识强。3、负责与行政对全体办公人员（各部门）进行人事入离职等管理、日常考勤、工作绩效考核，协助处理公司对外接待工作。4、负责全盘会计，审核出纳的日常收支业务，保证会计核算业务的真实完整。5、维护改进财务管理制度和财务计划并监督执行，按要求编制及组织实施财务预算、财务决算及财务分析报告，做到及时准确。6、负责检查及监督预算执行情况，遵循以收支、统筹兼顾的原则，确保工作有序、高效的开展。,民营  |  少于50人
会计（需出差非洲）,广州娜威实业有限公司,3-4.5千,宁波-海曙区,大专,1年经验,仓库管理员,公关/市场推广/会展,1.学习过财务会计专业知识，能独立完成报报表和报税工作2.能吃苦耐劳，沟通能力强，反应快，团队协作能力强3.***者优先,合资  |  500-1000人
会计,湖北九章会计师事务有限公司,8千-1.1万·13薪,成都,本科,5-7年经验,五险一金,互联网/电子商务,1、财会类相关专业，中级职称以上，5年以上会计经验；2、生产企业成本核算；3、生产企业，或者施工企业公司整套账务处理，基础凭证录入，记账、报表及报税；4、肯吃苦，可承受较大工作量；5、有建筑工程，路政桥梁类主办会计经验；欢迎具有竞争力的您加入！,外资（欧美）  |  150-500人
应付会计,深圳保宏科技股份有限公司,3-6千,广州-海珠区,本科,3-4年经验,中英人寿保险有限公司黑龙江分公司,医疗设备/器械,工作职责：1、负责存货、税务、费用、往来账款等方面的核算；2、根据国家相关法规及公司财务制度，及时准确编制会计凭证、会计报表和内部财务报表；3、及时完成纳税申报等涉税事项并做好资料归档；4、配合会计师事务所完成汇算清缴及审计等相关工作；5、完成领导交办的相关工作。任职要求：1、本科以上学历，会计学、财务电算化、审计等专业；2、3年以上总账会计、有费用管理、资金管理的工作经验，有贸易、制造业、工业行业相关工作经历；3、熟练使用金蝶、用友软件，以及办公软件；4、熟悉国家财务法规、税法等政策。了解企业内部的工作流程。,民营  |  少于50人
会计,武汉市星辰浩荣贸易有限公司,5-7.5千·13薪,东莞-横沥镇,大专,1年经验,餐饮补贴,快速消费品(食品、饮料、化妆品),1.公司日常财务核算，编制各类财务报表，会计资料的整理和保管。做内账，外账记账公司做2.负责公司应收、应付往来的核算、记账3.能独立进行制造企业的全盘账务处理，了解财务知识和相关流程及ERP系统操作4.熟悉法规和税法、熟练的使用各类财务软件5.负责审核日常费用报销单据，开具***，协助记账公司报税6.上级交办的其他工作任职要求：1.财务，会计专业大专以上学历2.具有一年以上工作经验3.熟悉操作财务软件，Excel，Word等办公软件4.工作认真，态度端正、认真负责5.熟悉ERP操作,民营  |  150-500人
会计兼人事,宁波开元鼎晟商业经营管理有限公司,5-7千,广州,大专,2年经验,工程管理,仪器仪表/工业自动化,1、岗位职责：1)协助完成日常事务性工作，协助处理帐务；2)申请票据，准备和报送会计报表，协助办理税务报表的申报；3)制作记帐凭证，银行对帐，单据审核，开具与保管发票；4)协助财会文件的准备、归档和保管；5)负责与银行、税务等部门的对外联络。2、任职要求：1)1-3年财务会计相关工作经验，本科及以上学历，财务，会计等相关专业；2)较好的会计基础知识，具备初级会计资格证书等优先考虑；3)良好的职业操守及团队合作精神，较强的沟通、理解和分析能力；4)具有独立工作和学习的能力，工作认真细心。任职要求；1、男女不限，大专及以上学历，有初级会计证；2、有全盘账一年以上经验3、熟悉企业财务制度及流程建设，内控管理，精通相关财税法律法规，懂得税务规划、合理避税。4、有较强的成本管控、风险预防的能力，有较强的思维能力、人际沟通能力、应变能力；5、有集团总部财务经验的优先考虑.工作与休息时间:上午08:30-12:00下午13:30-17:45（单双轮休）地址:广州市番禺区桥兴大道528号您好华侨创意园1幢507-510（番禺区人民法院正对面）,民营  |  50-150人
记账会计,德峰兴元（江苏）生物科技有限公司,4.5-6.5千,上海-徐汇区,大专,3-4年经验,五险一金,机械/设备/重工,岗位职责：1.审核会计人员编制的账簿记录的合理性，准确性，负责财务结账，财务报表的初审工作，为公司决策提供及时有效的财务分析。2.编制外部第三方合理要求的财务报表及数据。3.负责收入台账，定期与相关部门对账。4.审核与广告项目及固定资产相关的合同、申购单、验收单、挑拨单及付款单等各类单据，进行相关财务处理。5.懂税务筹划6.总经理安排的其他工作事项。职位要求：1.会计、财务专业大专以上学历，有中级会计师职称资格；2.熟悉会计核算知识及现金管理的有关规定；熟悉公司各项会计核算要求；3.3年以上会计岗位经验，有广告传媒行业经验优先；4.认真负责、有责任心、能承受工作压力；,民营  |  少于50人
记账会计,惠州市鸿正企业会计服务有限公司,7-7.5千,广州-荔湾区,大专,2年经验,做五休二,建筑/建材/工程,1.大专及以上学历，财会专业或金融管理等相关专业；2.初级会计师及以上职称优先考虑，从事财务会计工作2年以上；3.熟练运用用友/金碟ERP财务软件，word、excel等办公工具；4.具备扎实的财务理论知识，能熟练操作公司全盘账务、税务工作，以及熟悉财务软件中成本运算逻辑5.熟悉了解国家现行的财经政策及现行的公司法、会计法、税法等法律法规；6.工作细致，责任心强，具有良好的沟通能力、较强的学习能力和团队精神。,已上市  |  500-1000人
记账会计,石家庄市众帮包装材料有限公司,5-6千,广州-天河区,大专,3-4年经验,专业培训,房地产,您需要做的：负责公司的全盘账务管理工作，财务管理，处理税务事宜。1、负责日常业务的会计核算，确保所有会计凭证准确及时入账，发票购买、开具及协助代理记账认证工作；2、填制原始会计凭证、出具整套财务报表，负责凭证的装订及保管，负责合同资料整理及保管工作；3、负责项目收入、支出、往来核算等业务处理；4、审核相关合同、应收应付往来账务、报销费用单据审核；5、根据经济业务开具外经证、异地申报缴税、外经证反馈核销等跨区涉税事务；6、根据各个项目实行明细核算，出具项目报表；任职资格：1、专科及以上学历，财会相关专业，熟练操作各类办公软件及办公设备；2、熟悉各项会计实务及财务、税务法规及相关工商法规，熟悉银行结算业务；3、具有较强的独立学习及工作能力，工作认真细心，积极主动；4、具有良好的职业操守，责任心强，诚信正直，热爱本职工作；5、性格稳重，谈吐清晰，良好的语言表达及沟通能力。财会工作经验3年以上,民营  |  150-500人
总账会计,上海追得新材料科技有限公司,4-4.5千,上海-浦东新区,本科,8-9年经验,专业培训,环保,岗位职责：1.负责公司的全盘账务处理；2.负责准确核算收入、成本、费用，准确及时编制财务报表；3.负责纳税申报、研发费加计扣除及年度所得税汇算清缴工作；4.负责会计凭证、账簿和报表等会计档案的整理及归档5.负责与财务相关的各项财务审计、税务审计等对外沟通协调工作；6.完成领导安排的其他相关工作。职位要求：1.财务相关专业本科及以上学历，会计师中级职称；2.六年以上总账全盘操作工作；3.具备研发费加计扣除操作经验，必须具备合并报表经验，医药研发行业从业经验；4.具备一定的英语听说读写能力，有成功的高薪技术企业申报经验为加分项；5.熟悉国家相关财税法律法规，精通使用财务软件、office软件等；6.良好的沟通协调能力，责任心强、作风严谨。,民营  |  1000-5000人
总账会计,上海威智信息技术有限公司,1-1.5万,佛山-禅城区,大专,3-4年经验,五险一金,互联网/电子商务,任职资格：1、教育背景：会计专业，专科以上学历，熟练使用电脑及财务软件；2、工作经验：3年以上财务工作经验，具有会计证；3、精通财务管理的专业知识，熟悉国家会计制度准则，熟悉相关企业财务制度和流程；工作内容：1、付款及报销单据复核；2、日报审核汇总；3、出纳资金收支审核4、会计凭证编制；5、纳税衔接（完成对公帐的对外衔接工作）；6、工厂对帐（与往来业务单位对帐，与工厂结算系统对帐）；7、及时出具公司会计报表、业绩数据报表等,民营  |  150-500人
