职位名称,公司名称,薪酬,城市地区,学历要求,工作经验要求,公司福利,公司标签,职位描述或任职要求,规模类型
生产管理,福州特斯天食品有限公司,5-8千,福州-闽侯县,03-07发布,2年经验,绩效奖金,快速消费品(食品、饮料、化妆品),岗位职责1、编制生产计划，组织均衡生产，做到保质保量按时完成生产任务；2、负责生产部门的人员、设备、设施、环境管理；3、严格贯彻执行公司质量管理制度规定，确保产品质量任职资格2年以上相关行业生产管理经验；具备很强的品质管理、流程优化、统筹组织和沟通协调能力，有很好的分析问题和解决问题的能力；有较好的领导和组织协调能力、沟通能力、执行能力等。,民营  |  50-150人
通路管理,北汽重型汽车有限公司,1-2万,常州-新北区,本科,5-7年经验,北汽重型汽车有限公司,汽车,,国企  |  1000-5000人
总承包管理-东风设计院,东风汽车集团股份有限公司,8千-1.2万,,,,带薪年假,汽车,,国企  |  10000人以上
物业管理员,广州亚洲行领带服饰有限公司,5-7千,广州-海珠区,中技/中专,5-7年经验,交通补贴,服装/纺织/皮革,岗位职责：1、负责物业管理费收费通知单的发放和费用的催缴工作；2、负责租户来访、投诉等沟通处理工作，及时做好回复、跟踪、检查工作；3、负责做好辖区内对业主/住户的宣传工作，调查工作；4、对辖区内外的公共设施、消防设施、环境卫生、广告宣传海报进行监督管理；5、草拟通知公告。6、负责组员与组员之间工作的配合和互相监督。7、积极配合完成各部门经理、主管交办其他任务。8、客户资料、档案、银行资料的整理、分类归档；任职资格：1、有同类物业项目管理工作经验优先；2、实际工作执行力强，效率高；3、能独立完成物业各项制度制订，现场走动能力强，工作落实效率高；4、对本职工作有不断改进的想法和推动能力，实操工作能力强；5、对服务需求应主动想办法给予实现，实现需求时，应主动与需求方进行沟通；6、热爱物业行业，对物业现场管理有独特见解。7、对工作细心严谨，责任心强；有良好的沟通、协调能力，思维敏捷，具投诉处理能力和抗压能力；8、能熟练应用WORD、EXCEL等办公自动化软件者优先。,合资  |  50-150人
中国科学技术大学档案文博院-档案管理员,中国科学技术大学,8千-1万,合肥-蜀山区,硕士,1年经验,档案管理,学术/科研,"根据工作需要，现面向社会公开招聘劳务派遣岗位工作人员，详情请访问中科大招聘官网。一、招聘岗位岗位名称：档案管理员专业：档案、图书、情报学历：硕士研究生及以上二、岗位职责1.档案资源征集；2.重大科技项目档案管理；3.完成其他工作三、招聘条件1.拥护中国共产党的领导，热爱祖国，遵纪守法，思想政治素质高，品行端正；2.具有一定的办公软件应用能力和外语水平，具备学习掌握档案相关管理系统的能力；3.具有良好的责任意识、服务意识，具备较强的沟通协调能力和团队合作意识，服从工作安排；4.有档案管理相关工作经验或资质者优先考虑四、劳动合同与薪酬待遇安徽中科人力资源有限公司与劳务派遣人员签订劳动合同，劳务派遣至中国科学技术大学档案文博院。根据个人能力与业绩等协商确定薪酬，缴纳社会保险和公积金。五、报名材料1.	劳务派遣岗位招聘报名表；2.	身份证、已获得的学历学位证书扫描件；3.	与报名表填写内容相对应的各类证明材料。邮件标题：姓名-学历-专业-毕业院校-档案文博院，压缩文件名与邮件标题相同。六、	招聘程序1.提交报名材料，截止期为2023年3月12日；2.资格审查；3.考核（面试）；4.拟劳务派遣人员体检、公示。七、其他事项1.应聘者须对报名材料的真实性负责。2.请及时关注公示信息，对未进入公示的应聘者不再另行通知。安徽中科人力资源有限公司2023年3月3日",事业单位  |  500-1000人
生产计划/物料管理(日语N1),大连泰星能源有限公司,6-6.5千·16薪,大连-大连保税区,大专,3-4年经验,sap,新能源,岗位职责1.制定公司全体的生产、销售计划并对管理进度实时跟踪；2.问题发现时能及时预警，并与相关部门沟通共同解决。任职要求1.大专及以上学历，日语1级；2.3年以上日企生产计划相关工作经验；3.能够熟练操作Office办公软件；4.具有逻辑分析问题的能力和求知欲，愿意尝试学习不同领域知识；5.有接触SAP经验者优先考虑。,合资  |  1000-5000人
综合管理员,浙江省建设工程机械集团有限公司,6-9万/年,杭州-萧山区,本科,1年经验,后勤,机械/设备/重工,岗位职责：1.管理公司日常基建维修、采购维修配件；2.会议室影音系统控制、基础网络调试；3.协助管理食堂、协助管理物业公司。任职要求：有驾驶证、熟悉电脑操作登记台账，熟悉会议室影音系统，网络、基建维修等基础知识。此岗位为集团后勤保障部综合专员。说明：集团总部位于杭州市区，生产基地位于萧山戴村工业园区，总部多数职能部门的办公地点为萧山戴村；在杭州市区提供宿舍，班车免费接送（早7:10发车下午16:00返回）；该岗位的日常办公地点为萧山戴村镇，上班时间8:30-16:00。,国企  |  1000-5000人
仓库管理员,江西沃刻饮水设备有限公司,4-6千,长沙-天心区,大专,2年经验,五险,环保,,民营  |  500-1000人
售后服务管理,海信集团中国区营销总部,7千-1万·13薪,,,,交通补贴,计算机软件,,国企  |  10000人以上
仓库管理员,青岛嘉祥电气有限公司,2-4千,,,,交通补贴,仪器仪表/工业自动化,,民营  |  少于50人
运营项目管理员,普利司通飞机轮胎（中国）有限公司,7-9千·15薪,青岛-黄岛区,本科,1年经验,设备档案管理,航天/航空,【岗位职责】·设备部项目的前期沟通和方案策划·项目的跟踪和推进·项目过程的监控，以及阶段报告的制成·设备库存的管理·设备档案的管理【技能要求】·英语口语流利，较强的英语听力和写作能力·熟练掌握办公软件，Excel及PPT的制作。·会CAD优先·有制造业工作经验优先，参与过项目管理优先，优秀毕业生也可【薪资待遇】1.弹性工作制，周末双休；2.完善的培训体系，帮助员工提升专业知识技能；3.公司发展前景很好，每年有一定的涨薪比例，有清晰的职业规划路径；4.规范的五险一金（基数和比例高）、优厚的带薪年休假（多于国家规定天数）、家长会假、家庭成员照顾假、补充医疗保险，免费工作餐、年两次奖金、环境津贴、结婚礼金、生育礼金、丧葬慰问金、交通补贴、部门聚餐、年节福利、集体旅游、团建活动、工会福利、员工活动室、洗浴间、其他津贴、补贴等。5.每次合同期3年，第三期按个人意愿可签无固定期限合同。,外资（非欧美）  |  50-150人
客户经理/财富管理/销售代表,广发证券股份有限公司湖北分公司,3-6千,随州,本科,1年经验,证券,金融/投资/证券,,已上市  |  5000-10000人
项目管理,广东科睿信息技术有限公司,1.2-1.8万,佛山-禅城区,大专,3-4年经验,供应链,计算机软件,岗位职责：1、负责金蝶云产品的交付和项目管理；2、根据项目合同及任务要求进行需求调研，与用户沟通并归纳用户需求；3、根据客户需求，结合软件功能，设计实施方案，进行方案测试、调整；4、负责培训客户方的关键用户，辅导客户熟练操作系统；5、归纳并形成项目实施文档，解决客户问题，直至实施项目成功交付。任职要求:1、本科及以上学历，财务管理、计算机、软件工程等相关专业优先；2、熟悉财务、生产、供应链，某一专业领域知识即可；3、具备良好的沟通协调能力、抗压能力以及主动探究并解决问题的能力。上班时间:8:30-12:00，13:30-18:00，按国家节假日放假。福利：1、公司为员工购买社保+意外保险；2、丰富多彩的员工活动：员工聚餐、员工生日会、唱K、旅游活动、拓展训练、表彰活动等等；3、舒适办公环境；和谐的员工关系；每周有提升个人技能培训。,民营  
能源管理综合管理岗,成都核总谷兰物业管理有限公司,3.5-4.5千,成都-双流区,本科,3-4年经验,文档管理,政府/公共事业,岗位职责：1、负责部门相关制度、工作报告，会议纪要等的编写；2、协助上级领导制定本部门的安全制度以及相关事项标准化；3、负责本部门的相关采购事项，完成市场调研、技术规格书以及采购预算的编制；4、负责部门的文档管理，以及日常业务的开展；5、完成领导交办的其他工作任务。任职要求：1、***本科及以上学历，3年及以上工作经验，有相关从业经历者优先；2、熟练使用Excel、Word、PPT等办公软件，良好的逻辑思维能力，具有较强的写作能力；3、有一定的采购经验，能较好的完成市场调研、预算编制等；4、对安全标准化有一定的认知。备注：此岗位为劳务派遣岗，与第三方公司签订劳动合同，介意者***。,国企  |  150-500人
物业管理处--食品安全专员,北京师范大学-香港浸会大学联合国际学院,6-8千,珠海-香洲区,大专,3-4年经验,周末双休,教育/培训/院校,工作职责1.制定学校食品安全管理制度和检查制度；2.建立食品安全档案，制定商铺检查计划并组织实施；3.负责餐饮单位的食品安全管理，制定相关管理制度和台账制度并监督落实情况；4.与政府相关部门联络沟通，参加相关的政府培训、会议或检查，及时做好有关信息、材料报送工作；5.收集整理食品安全相关的标准，规范，法律法规及政策，对商铺和食堂进行宣传和指导；6.优化校内商铺和食堂的日常运营管理，提升商家服务质量和品质；7.商务组其他相关工作。任职要求1.专科及以上，食品安全相关专业优先；2.具备流利的中文写作和表达能力，具备良好的沟通和人际交往能力；3.具有3年以上食品安全管理工作经验，大学食堂管理经验优先，对食品安全法规和政策有较强的认识；4.自信，上进心强，学习能力强，责任心强、原则性强5.抗压能力强，能快速适应新的工作环境，能够在多元文化环境中独立、有效地完成工作；6.具备分析和解决问题的能力；7.具备良好的计划和组织能力；8.积极应对的服务方面的持续改进。,民营  |  500-1000人
研发项目申报及综合管理主管,上海诺德生物实业有限公司,8千-1万,上海-松江区,本科,5-7年经验,五险一金,制药/生物工程,主要职责：1、负责公司各类保健品研发项目的申报、验收等全流程管理工作；2、负责公司专利的申报维护工作，组织和建立专利档案管理工作；3、负责产品批件管理与维护，负责与业务相关的政府职能部门沟通；4、负责研究所ISO、HACCP等技术资料档案管理及内审工作；5、负责研究所日常行政事务性工作。基本要求：1、具有食品、生物、药品等相关专业本科学历；2、熟悉保健食品批件申报相关操作流程及法律法规；3、了解专利、软著等申报及政府部门工作流程；4、有保健食品、生物医药等行业相关经验者优先考虑；5、具有良好的沟通能力和团队合作精神。年龄要求：25-40岁,民营  |  50-150人
科研管理,上海电气研砼建筑科技集团有限公司,1.2-1.5万·13薪,上海-普陀区,本科,3-4年经验,科研项目管理,建筑/建材/工程,岗位职责：1、协助完成科研项目管理，包括项目立项、进度及质量管理、成本及验收管理；2、协助完成科研文件的规范化管理及完成文件、图纸的流程审签工作；3、定期总结和汇报项目进展情况；4、协助部门与计划部、采购部、生产部对接；5、协助完成制定和完善部门的各项规制制度和流程。任职要求：1、本科及以上，土木、材料等相关专业；2、具有3年以上建筑行业科研管理相关工作经验；3、具有较强的学习创新能力、组织管理能力、沟通协调能力、团队建设能力及处理复杂问题的能力。,合资  |  1000-5000人
质量管理（技术、质量、现场）,广东赛福智能装备有限公司,8千-1.2万,佛山-三水区,本科,3-4年经验,质量管理,机械/设备/重工,任职要求：（1）35-40岁，本科或以上学历，理科相关专业，三年以上品质同岗位管理工作经验，金属行业相关品质管理经验优先。（2）有过汽车行业质量管理工作经验；（3）熟悉ISO质量管理体系的运作，对来料、制程、成品、客户投诉、客户验厂、验货等良好的管理工作经验；熟悉质量七大手法、五大工具等。（4）熟悉铝型材生产制造工艺、质量控制。（5）具有良好的统筹管理能力、沟通能力、组织能力，分析问题、解决问题能力强，工作执行力强，具有高度的责任心和团队合作精神、工作积极主动，思维清晰，严谨，细致。（6）能全力以赴去配合完成上级领导交付的各项任务。,民营  
管理培训生（重点培养）,中国人寿保险股份有限公司天津市分公司,8千-1万,天津-河西区,大专,无需经验,中国人寿保险股份有限公司天津市分公司,保险,"职位描述工作要求：本岗位是公司专门培训未来关键人才而设置的，寻求愿意与公司一起成长的青年才俊，通过公司的合理培训与管理使相关人员掌握保险的有关知识，最终根据所学专业安排在相应的岗位上就职，承担人力资源，培训讲师，团队主管，行政管理，VIP理财规划师等相关重任。公司培训：1、职前培训、从业资格知识培训、岗前培训、衔接训练,新人成长培训2、转正培训：专题训练、提升训练、拓展训练、讲师训练3、晋升培训：经营管理技能训练、团队管理培训4、中国人寿金融学院终身免费金融培训和管理培训,全心打造职业经理人收入及福利待遇：1、入司即可享有基本工资，训练津贴、年度奖金、转正津贴、新人卓越奖2、享有人生意外保险、定期寿险和住院医疗保3、享有基本养老补贴4、入司五周年开始享有长期养老津贴5、享有人寿、养老险、健康财产险及营销系列培训等专业培训6、子女高考补助7、重大疾病补助",民营  
管理咨询顾问（非销售岗）,武汉九鼎医院管理顾问有限公司,7-10万/年,武汉-洪山区,本科,1年经验,管理咨询,专业服务(咨询、人力资源、财会),,民营  |  少于50人
物业管理经理,优贺普食品（上海）有限公司,1-1.5万,长沙,大专,3-4年经验,带薪年假,快速消费品(食品、饮料、化妆品),岗位职责:1.负责主持物业服务中心的工作，认真执行公司管理方针及各项规章制度；2.制订符合项目情况的物业服务方案，按计划、组织、实施、控制等管理程序；3.组织召集员工月会，落实工作，布置任务，协调关系，就项目物业管理执行中的问题提出解决方案。4.做好客户服务、工程维护、秩序维护、环境管理等日常服务工作，发现重大质量问题及时与工程、秩序等部门进行对接并处理；5.巡查保洁、安防、绿化工作，检查设备运转保养情况，发现问题及时解决；6.妥善处理各类投诉，不断提高客户满意度；7.维护与房管局、消防大队、街道、社区、派出所、业委会等相关部门的关系，为企业发展提供良好的工作环境；8.置业运营（办公场地租赁）管理经验和能力。9.完成领导交办的其它工作。任职要求:1.大专及以上学历，物业管理或工程管理专业优先；2.5年以上物业工作经验，或3年以上物业公司同等岗位工作经历优先；3.身体健康，踏实负责，具备较强的沟通协调能力，较强的客服意识和组织管理能力。,民营  
质量管理（技术、质量、现场）,广东赛福智能装备有限公司,8千-1.2万,佛山-三水区,本科,3-4年经验,质量管理,机械/设备/重工,任职要求：（1）35-40岁，本科或以上学历，理科相关专业，三年以上品质同岗位管理工作经验，金属行业相关品质管理经验优先。（2）有过汽车行业质量管理工作经验；（3）熟悉ISO质量管理体系的运作，对来料、制程、成品、客户投诉、客户验厂、验货等良好的管理工作经验；熟悉质量七大手法、五大工具等。（4）熟悉铝型材生产制造工艺、质量控制。（5）具有良好的统筹管理能力、沟通能力、组织能力，分析问题、解决问题能力强，工作执行力强，具有高度的责任心和团队合作精神、工作积极主动，思维清晰，严谨，细致。（6）能全力以赴去配合完成上级领导交付的各项任务。,民营  
流程管理专员,深圳市石金科技股份有限公司,8千-1.2万,佛山-高明区,本科,2年经验,五险一金,新能源,职责描述：1.流程管理体系的构建完善与培训推广：根据公司整体规划，搭建某一领域的业务流程体系，形成体系文件，并组织评审通过；参与流程管理机制建设，包括责任机制、运行机制、决策机制以及激励机制，确保业务流程体系的有效执行及持续改进；流程知识基础管理，负责研究前沿的流程管理思路和解决方案，收集标杆管理工具和管理方案；负责公司流程管理推进工作过程中涉及的方法、工具、模板、知识、案例等流程资产的总结、提取与标准化工作，提升流程管理成熟度；负责流程管理方法论及各业务领域流程的宣传与培训；负责对应领域内流程文件的全生命周期管理。2.流程运营监控和改进：定期跟踪关键流程实施情况，编制并提交关键流程实施分析报告，识别关键流程异常事件，并跟踪各部门优化改善，提升流程运行效率；按照流程监督考核机制和实施要求，对流程运行状况进行监督考核、数据分析、问题识别并制定改进措施；3.业务支持（流程管理BP）：负责协助对口业务部门，围绕部门目标与职责，识别业务活动及流程制度；负责协助对口业务部门，基于流程时序，横向检核评审跨部门流程建设任务，提交公司审定通过；负责协助业务部门，基于审定的年度营运任务，针对性地拟定本部门内部运营层面目标绩效，输出营运层面年度工作计划；负责协助业务部门，围绕本部门年度工作计划，组织推动业务流程建设、推广及持续改进，提供流程方法赋能。任职要求：1.本科及以上学历；2.2年以上相关工作经验；3.熟悉业务流程设计的理论框架；4.熟悉一个或多个核心业务领域，如研发、供应链、营销等5.掌握流程管理的相关工具和方法，熟悉业务流程的搭建、推进与实施，及信息化建设与运营；6.具有较强的逻辑思维能力，能够做到在项目推进过程中，目标明确，思路清晰7.具有较强的组织协调、业务理解及项目管理能力8.具有较强的沟通与表达能力9.具有较强的学习能力和抗压能力,民营  |  150-500人
KA商超现场管理经理,海南盐福记科技有限公司,5千-1万,海口-龙华区,大专,2年经验,五险,快速消费品(食品、饮料、化妆品),KA商超现场管理经理（岗位职责）职位描述工作职责：1、依据公司KA系统客户的规范要求，执行、推动、督导管理规范工作的有效执行；2、驻场KA现场，调度相关工作人员的工作；3、负责区域KA费用的合理使用，对费用的使用进行严格控制，按公司要求及时、准确进行核销；4、负责组织建立、维护区域重点客户档案信息，定期拜访KA系统总部及主要门店，发掘销售增长点；5、负责规范、完善区域KA系统大型超市合作条款和价格政策；6、针对KA商超的运营，及时提出调价、促销、产品更新等策略；；任职要求：1、优先考虑：1）有直销或超市采购工作经验优先；2）商超市场实操经验丰富，熟悉百货（KA卖场销售渠道）优先；2、大学专科以上学历，市场营销及相关专业；3、3-5年以上从业经验，两年以上同等职位管理经验，熟悉现代KA渠道的运作和管理模式；3、良好的沟通能力及业务谈判能力、抗压力能力；4、较强业务规划、执行和监控能力，丰富的导购团队管理能力和管理经验；5、熟练使用相关办公软件，强烈的进取心、诚实正直、良好的道德水准薪资：,民营  |  少于50人
质量管理专员,广州创艾新生物科技有限公司,6千-1万·13薪,广州-天河区,本科,5-7年经验,质量管理,医疗设备/器械,岗位职责1、负责规范和优化公司产品管理流程；2、参与公司质量保证体系改进工作，负责建立健全产品质量保证体系；3、负责公司质量保证体系执行过程的指导、监督与评价，确保公司产品质量保证体系的有效运行；4、负责规范公司新客户的首营资料及新产品的建档流程5、负责软件产品信息更新维护6、负责省标系统、药交中心平台维护7、负责药监年度例行检查工作的部署及执行任职资格1、本科以上学历，检验或医学相关专业者优先；2、深刻理解医疗器械行业质量管理体系，有本行业工作经验者优先；3、能熟练操作本草纲目或其他医疗器械行业进销存软件者优先；4、能熟练操作省标平台、药品交易中心网站等医疗器械行业相关网站者优先；5、有良好服务意识和团队意识；6、踏实稳重、细心敬业，无不良嗜好。工作时间：每周上班5.5天，每日工作7.5小时，上午8:30-12:00，下午13:30-17:30,民营  |  少于50人
质量管理（技术、质量、现场）,广东赛福智能装备有限公司,8千-1.2万,佛山-三水区,本科,3-4年经验,质量管理,机械/设备/重工,任职要求：（1）35-40岁，本科或以上学历，理科相关专业，三年以上品质同岗位管理工作经验，金属行业相关品质管理经验优先。（2）有过汽车行业质量管理工作经验；（3）熟悉ISO质量管理体系的运作，对来料、制程、成品、客户投诉、客户验厂、验货等良好的管理工作经验；熟悉质量七大手法、五大工具等。（4）熟悉铝型材生产制造工艺、质量控制。（5）具有良好的统筹管理能力、沟通能力、组织能力，分析问题、解决问题能力强，工作执行力强，具有高度的责任心和团队合作精神、工作积极主动，思维清晰，严谨，细致。（6）能全力以赴去配合完成上级领导交付的各项任务。,民营  
试剂生产管理,武汉德晟行生物技术有限公司,8千-1.5万,武汉-江汉区,大专,5-7年经验,试剂生产,医疗设备/器械,主要职责：1、负责部门组织架构、岗位职责、部门人员绩效考核等管理工作；2、负责生产计划与协调工作；3、负责成本与能资源消耗管理工作；4、负责生产系统GMP/EHS事务；5、负责生产系统与车间管理体系改进。要求：1、统招大专及以上学历，年龄30--45岁；2、具有至少五年医药企业生产管理或质量管理的经验；3、接受过与所生产产品相关的专业知识培训；接受过试剂生产、质量、安全及环保的系统培训；4、具有较强的生产组织协调能力，团队管理能力，分析能力和判断能力。职能类别：试剂生产/质量管理,民营  |  50-150人
仓库管理员,安徽注力供应链有限责任公司,6-8千,合肥-瑶海区,高中,2年经验,绩效奖金,快速消费品(食品、饮料、化妆品),工作内容：1、负责库区现场管理工作；2、负责产品库位管理工作；3、货品的收、发、存的协调与管理；4、月度盘点工作的开展；5、上级领导安排的其他工作。职位要求：25岁-50岁之间有2年以上的仓库管库经验，高中以上学历；家住新站区附近！基本工资+岗位补助+绩效考核月收入7000-8000左右,民营  |  50-150人
毛衫生产管理,上海紫觉贸易有限公司,20-25万/年,上海-松江区,03-07发布,8-9年经验,服装,贸易/进出口,1、全面负责生产部的日常生产、管理、运营等工作；2、建立、完善生产部的规章制度、规范生产流程和员工行为；3、负责生产运营整体规划，根据计划目标编制月、季、年度生产计划；4、执行生产计划，监控生产进度，合理调度各项生产任务及各种工作标准，严把产品质量关，确保大货按质按量的完成。5、负责生产现场及技术问题解决支持，牵头大货生产过程控制与指导、大货工艺难点攻关。6、制定及生产成本控制计划，管控各环节的费用，降低生产消耗、避免浪费；7、贯彻落实安全生产方针政策，组织安全生产检验，杜绝生产安全事故；8、领导、管理生产部门基础设备维护，保证生产现场能够正常生产，设备处于良好状态；任职要求：1、专科及以上学历；2、具备五年以上羊毛衫行业生产管理经验，担任生产副总或厂长相关岗位3年以上，纺织或工业工程相关专业，能有效进行生产工艺分解，熟悉工艺制作与流程，并具有良好的协调沟通能力，工作责任心强，具备良好的职业素养；3、精通生产业务流程；熟悉编织工艺及原理；4、具有较强的生产计划、现场改善、成本与质量管控能力。5、计算机知识：熟练运用办公软件。6、具备优秀的组织能力、沟通能力、规划能力。,民营  |  50-150人
客户经理/高级客户经理（健康管理）,凯悦汉深（上海）健康科技有限公司,1.5-2万,上海-浦东新区,本科,2年经验,健康体检,专业服务(咨询、人力资源、财会),"职位描述岗位职责：1、参与大型销售中项目的资料复核及服务内容确认，以保障项目落地的顺畅；2、负责已销售项目确认后的交付，按合约内容和时间节点完成服务项目；3、负责客户日常沟通与服务，合理化管理客户预期，解答客户问题及跟进修改，定期项目的财务结算及发票寄送；4、负责大客户核心决策人（如HR）的投诉快速解决；5、参与客服流程优化和精简；6、涉及供应商问题，配合与内部团队沟通及确认供应商的解决进度；7、对于已完成的项目负责回顾与分析主要的使用数据，如客户对于一些项目中产品需要对比，基于结果做简单分析，并协助续约；8、协助上级完成其它分配的任务。任职资格：1、本科及以上学历，3-5年项目经验及大客户服务经验，其中至少有2年企业客户直接服务的工作经验；2、良好的服务意识及责任心；3、工作认真仔细、逻辑清晰、快速学习能力和团队协作意识；4、熟练掌握office(比如word,excel,power-point)5、有企业灵活福利项目、健康管理及健康体检企业客户服务经验者优先考虑；6、能熟练运用英语的优先考虑",民营  |  少于50人
后勤组长（饭堂、宿舍管理方向）,希美克（广州）实业有限公司,5-8千,广州-增城区,大专,1年经验,宿舍,机械/设备/重工,岗位职责:1、负责我司1000人以上食堂统筹管理工作，对食堂现场5S管理、食品安全管理，通过创造、提供服务，持续提升员工满意度与认同感；2、负责员工宿舍内务5S管理，不断通过软硬件改善、资源调配、提供服务，持续提升员工满意度与认同感；3、负责工厂清洁工团队的管理。任职要求:1、大专以上学历。2、二年以上企业行政管理相关工作经验，有宿舍、饭堂、清洁管理经验尤佳。3、具备一定抗压能力，高度行政工作热情，能耐心处理异常，心态调整能力较强。4、良好的沟通表达能力。,外资（欧美）  |  1000-5000人
风险管理总监,旭兆（上海）房产管理咨询有限公司,2-3万,上海-静安区,本科,5-7年经验,绩效奖金,房地产,岗位职责：1、负责风险管理部门整体管理和工作分配，搭建法务体系，确保工作推进有序，把控工作效果。2、不局限于法务专业视角，积极掌握相关政策法规，为公司决策事项提供参考支持专业意见。3、负责统筹规划各业务作业文本模板的最终制定并根据实际情况不断更新调整。4、根据经营实际和法律法规，统筹安排制定并监督落实各项风险管理主导的管理制度，并组织安排在公司内组好宣贯、监督落实。5、对于发生风险的业务，根据实际情况，统筹风险管理部通过诉讼和非诉讼等各种有效途径和方式处置风险，维护公司合法权益。6、及时关注行业相关法律和政策动态，掌握相关信息，并用于对照并指导公司相关业务模式，确保外部合规。对公司内部行为是否符合公司企业文化和制度进行监督，做好内部合规管理。岗位要求：1、本科以上学历，持有法律职业资格证书。2、8年以上工作经验，其中5年同行业（金融或类金融）法务工作经验，5年团队管理经验知识/技能扎实的法律基础，特别是公司法以及相关商事法规的熟练掌握和灵活运用。3、有较为丰富且实用的独立利用诉讼或非诉讼方式处理法律问题的能力。4、抗压能力强，能够快速学习新事物，能够在多项不同类别工作任务并存下保持良好作业能力。5、能够对部门工作进行合理规划并监督实施，能够提高部门协作能力、工作能力。",民营  |  少于50人
网络管理 -猛士科技,东风汽车集团股份有限公司,1.5-2.5万,,,,东风汽车集团股份有限公司,汽车,,国企  |  10000人以上
管理培训生（生产和质量管理）,浙江银瑜新材料股份有限公司,6-7千,宁波-镇海区,本科,无需经验,管理,服装/纺织/皮革,,民营  |  150-500人
财经BP（管理会计）,广东中泰工业科技股份有限公司,7千-1万,九江,本科,5-7年经验,财务,汽车,"岗位职责：1、经营预算（管报）与控制：预算规则、核算规则优化，执行月度经营预算编制、目标基线管理，过程监控；执行库存控制、项目毛利率控制、可控费用控制。2、商务管理,价格控制，合同管理，开票与收款管理。3、经营分析与改善（管报）：执行经营目标与实际差距分析、行业分析、历史同期分析，针对根因问题提出改善措施，确保经营数据准确率，提升业务项目毛利率。4、业财流程一体建设与执行稽查：深入业务流程，找出与财务流程差距，执行业务过程的监督检查。任职要求：1、会计、财务、统计大学本科，具有中/大型五金制造业财务工作经历；2、6年以上财务相关工作经验，30岁以下；",民营  |  1000-5000人
空调现场施工管理员,广东羊城水电设备工程有限公司,0.8-1万,广州-天河区,中技/中专,2年经验,现场管理,建筑/建材/工程,,民营  |  50-150人
分公司房地产评估管理人员,深圳市鹏信资产评估土地房地产估价有限公司,8-15万/年,深圳-福田区,大专,2年经验,周末双休,中介服务,1、专科及以上相关学历（含房地产相关专业、土地资源管理、会计学、经济学等经济类专业）；2、热爱评估行业，具有一定的人格修养和专业素质，良好的沟通技能和服务态度；3、诚实守信，吃苦耐劳，有责任心，工作细致认真，有良好的工作沟通协调能力；4、服从安排，有较高的团队协作精神、责任感，能按规定时间和质量完成本职工作；5、熟练使用计算机及办公软件。6、有3年左右相关工作经验者优先，具有评估报告审核经验者优先。,民营  |  150-500人
金融管理培训生,中国人寿保险股份有限公司天津市分公司,4.5-6千,天津-河西区,大专,无需经验,保险,保险,,民营  
项目管理,佛山市啟盛卫生用品有限公司,1-1.5万,佛山-南海区,本科,5-7年经验,商务,快速消费品(食品、饮料、化妆品),岗位职责：1、负责客户新项目的整体把控和规划，组织参与新项目风险评估、新品试样、产品验证等；2、负责订单整理管理和跟进，不定期组织内部会议传达客户要求，协调内部资源满足客户交付目标；3、负责商务以及项目相关事务的沟通洽谈；4、负责客户接待，与客户保持良好的沟通，了解客户需求和要求，维护客户关系。任职条件：1、***本科及以上学历（优秀者可放宽至大专），英语相关专业，英语4级以上；2、具备较强的沟通协调能力和商务谈判能力，积极主动完成各项工作任务；3、具备较强的业务学习与分析能力，富于工作责任心，逻辑思维能力强；4、具有项目管理经验，有卫生用品及相关行业经验者优先。,民营  |  1000-5000人
绩效及人力资源配置管理,上海临港浦江国际科技城发展有限公司,15-25万/年,上海-闵行区,本科,2年经验,五险一金,房地产,岗位职责：1、修订完善公司绩效管理制度，实施公司绩效考核工作；2、结合市场化绩效激励模式，制定公司绩效考核及激励方案；3、及时跟踪了解各部门重点工作进展情况，定期向领导汇报，并提出有关改进建议；4、对公司人力资源优化配置提出合理化建议；5、建立后备人才选拔方案和人才储备机制；6、完成领导安排的其他工作任务。任职资格：1、本科及以上学历，管理类相关专业；2、熟悉各种绩效评价方法，绩效管理流程，具备2年以上市场化绩效激励管理经验；3、具备较强的沟通协调能力；4、具备一定写作能力，善于撰写各类绩效激励方案。,国企  |  50-150人
护工管理员（第九人民医院黄埔分院）,上海擎浩医院管理有限公司,4-8千,上海,大专,无需经验,现场管理,医疗/护理/卫生,工作描述：1、对接医院护士长或办公室主任、安排下面工作，派工、派单、收款等工作；2、能很好地衔接各部门进行协作；3、医院护工现场管理工作；4、处理解决突发事情及汇报工作。任职要求：1、大专以上学历、30岁以上；2、具备较强的执行能力、沟通协调能力；3、具备良好的服务意识与团队协作精神；4、熟练操作计算机及办公软件。,民营  |  1000-5000人
仓库管理员（闵行仓向阳路）,上海泛航医疗供应链管理有限公司,3-4.5千,上海,中技/中专,1年经验,周末双休,医疗设备/器械,,民营  |  50-150人
